"providerName"	"providerId"	"dataSource"	"geneSymbol"	"geneId"	"geneIdType"	"proteinId"	"proteinIdType"	"organism"	"sequenceCount"	"bindingSequence"	"bindingDomain"	"tfFamily"	"experimentType"	"pubmedID"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-AHR_si"	"AHR_si"	"AHR_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"AHR"	"9606"	"ENTREZ"	"P35869"	"uniprot"	"Hsapiens"	153.958717376672	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-AIRE_f2"	"AIRE_f2"	"AIRE_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"AIRE"	"9606"	"ENTREZ"	"O43918"	"uniprot"	"Hsapiens"	41.3061224489797	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ALX1_si"	"ALX1_si"	"ALX1_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ALX1"	"9606"	"ENTREZ"	"Q15699"	"uniprot"	"Hsapiens"	31	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ANDR_do"	"ANDR_do"	"ANDR_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ANDR"	"9606"	"ENTREZ"	"P10275"	"uniprot"	"Hsapiens"	130	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-AP2A_f2"	"AP2A_f2"	"AP2A_f2"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"AP2A"	"9606"	"ENTREZ"	"P05549"	"uniprot"	"Hsapiens"	1929.74016797684	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-AP2B_f1"	"AP2B_f1"	"AP2B_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"AP2B"	"9606"	"ENTREZ"	"Q92481"	"uniprot"	"Hsapiens"	27.9110320284698	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-AP2C_f1"	"AP2C_f1"	"AP2C_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"AP2C"	"9606"	"ENTREZ"	"Q92754"	"uniprot"	"Hsapiens"	1599.02145497779	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-AP2D_f1"	"AP2D_f1"	"AP2D_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"AP2D"	"9606"	"ENTREZ"	"Q7Z6R9"	"uniprot"	"Hsapiens"	5	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ARI3A_do"	"ARI3A_do"	"ARI3A_do"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ARI3A"	"9606"	"ENTREZ"	"Q99856"	"uniprot"	"Hsapiens"	44.1503838360992	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ARI3A_f1"	"ARI3A_f1"	"ARI3A_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ARI3A"	"9606"	"ENTREZ"	"Q99856"	"uniprot"	"Hsapiens"	47.111078969846	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ARI5B_f1"	"ARI5B_f1"	"ARI5B_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ARI5B"	"9606"	"ENTREZ"	"Q14865"	"uniprot"	"Hsapiens"	15	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ARNT2_si"	"ARNT2_si"	"ARNT2_si"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ARNT2"	"9606"	"ENTREZ"	"Q9HBZ2"	"uniprot"	"Hsapiens"	18	NA	NA	NA	"low- and high-throughput methods"	"23175603"
"Hsapiens-HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19-ARNT_f1"	"ARNT_f1"	"ARNT_f1"	"HOCOMOCOv9_AD_PLAINTEXT_H_PWM_hg19"	"ARNT"	"9606"	"ENTREZ"	"P27540"	"uniprot"	"Hsapiens"	267.797987828358	NA	NA	NA	"low- and high-throughput methods"	"23175603"
